# e, |m|, m2, m4 [calculated 2025-01-16 12:55:05.507987]
-2.16, 0.775, 0.6006250000000001, 0.36075039062500003
-1.85, 0.605, 0.366025, 0.133974300625
-1.83, 0.6, 0.36, 0.1296
-2.45, 0.865, 0.748225, 0.559840650625
-2.57, 0.915, 0.8372250000000001, 0.7009457006250001
-2.1, 0.74, 0.5476, 0.29986576
-2.4, 0.89, 0.7921, 0.62742241
-2.18, 0.8, 0.6400000000000001, 0.4096000000000001
-2.16, 0.695, 0.4830249999999999, 0.23331315062499994
-2.2, 0.79, 0.6241000000000001, 0.3895008100000001
-2.46, 0.895, 0.801025, 0.6416410506250001
-2.53, 0.9, 0.81, 0.6561
-2.37, 0.865, 0.748225, 0.559840650625
-2.39, 0.78, 0.6084, 0.3701505600000001
-2.1, 0.765, 0.585225, 0.342488300625
-2.17, 0.82, 0.6723999999999999, 0.4521217599999999
-2.22, 0.825, 0.6806249999999999, 0.4632503906249999
-2.28, 0.85, 0.7224999999999999, 0.5220062499999999
-2.24, 0.835, 0.697225, 0.4861227006249999
-2.25, 0.855, 0.7310249999999999, 0.5343975506249999
-2.37, 0.875, 0.765625, 0.586181640625
-2.33, 0.86, 0.7395999999999999, 0.54700816
-2.3, 0.765, 0.585225, 0.342488300625
-2.25, 0.825, 0.6806249999999999, 0.4632503906249999
-1.95, 0.63, 0.39690000000000003, 0.15752961000000001
-2.02, 0.68, 0.4624000000000001, 0.21381376000000007
-2.03, 0.665, 0.44222500000000003, 0.19556295062500004
-2.04, 0.71, 0.5041, 0.25411680999999997
-2.2, 0.85, 0.7224999999999999, 0.5220062499999999
-2.5, 0.9, 0.81, 0.6561
-2.16, 0.805, 0.6480250000000001, 0.4199364006250001
-2.35, 0.845, 0.7140249999999999, 0.5098317006249999
-2.59, 0.92, 0.8464, 0.7163929600000001
-2.62, 0.925, 0.8556250000000001, 0.7320941406250001
-2.34, 0.83, 0.6889, 0.4745832099999999
-2.36, 0.835, 0.697225, 0.4861227006249999
-2.26, 0.85, 0.7224999999999999, 0.5220062499999999
-2.42, 0.85, 0.7224999999999999, 0.5220062499999999
-2.25, 0.815, 0.664225, 0.44119485062499986
-2.42, 0.86, 0.7395999999999999, 0.54700816
-2.41, 0.845, 0.7140249999999999, 0.5098317006249999
-2.43, 0.885, 0.7832250000000001, 0.6134414006250001
-2.38, 0.85, 0.7224999999999999, 0.5220062499999999
-2.42, 0.84, 0.7055999999999999, 0.49787135999999993
-2.47, 0.86, 0.7395999999999999, 0.54700816
-2.29, 0.83, 0.6889, 0.4745832099999999
-2.07, 0.7, 0.48999999999999994, 0.24009999999999995
-1.71, 0.61, 0.3721, 0.13845840999999998
-1.7, 0.58, 0.3364, 0.11316495999999997
-1.84, 0.725, 0.525625, 0.276281640625
-2.44, 0.89, 0.7921, 0.62742241
-2.26, 0.83, 0.6889, 0.4745832099999999
-2.38, 0.85, 0.7224999999999999, 0.5220062499999999
-2.01, 0.79, 0.6241000000000001, 0.3895008100000001
-2.39, 0.855, 0.7310249999999999, 0.5343975506249999
-2.24, 0.825, 0.6806249999999999, 0.4632503906249999
-2.39, 0.885, 0.7832250000000001, 0.6134414006250001
-2.4, 0.885, 0.7832250000000001, 0.6134414006250001
-2.33, 0.87, 0.7569, 0.57289761
-2.12, 0.41, 0.16809999999999997, 0.028257609999999992
-2.29, 0.855, 0.7310249999999999, 0.5343975506249999
-2.35, 0.855, 0.7310249999999999, 0.5343975506249999
-2.52, 0.88, 0.7744, 0.59969536
-2.28, 0.79, 0.6241000000000001, 0.3895008100000001
-2.41, 0.895, 0.801025, 0.6416410506250001
-2.38, 0.885, 0.7832250000000001, 0.6134414006250001
-2.36, 0.865, 0.748225, 0.559840650625
-2.41, 0.88, 0.7744, 0.59969536
-2.31, 0.825, 0.6806249999999999, 0.4632503906249999
-2.4, 0.865, 0.748225, 0.559840650625
-2.18, 0.75, 0.5625, 0.31640625
-2.17, 0.83, 0.6889, 0.4745832099999999
-2.28, 0.77, 0.5929, 0.35153041
-2.12, 0.745, 0.555025, 0.308052750625
-2.1, 0.74, 0.5476, 0.29986576
-2.33, 0.86, 0.7395999999999999, 0.54700816
-2.4, 0.88, 0.7744, 0.59969536
-2.03, 0.765, 0.585225, 0.342488300625
-2.05, 0.775, 0.6006250000000001, 0.36075039062500003
-2.1, 0.785, 0.616225, 0.3797332506250001
-2.18, 0.82, 0.6723999999999999, 0.4521217599999999
-2.2, 0.84, 0.7055999999999999, 0.49787135999999993
-2.17, 0.775, 0.6006250000000001, 0.36075039062500003
-2.22, 0.825, 0.6806249999999999, 0.4632503906249999
-1.99, 0.69, 0.4760999999999999, 0.22667120999999993
-2.01, 0.66, 0.43560000000000004, 0.18974736000000003
-2.27, 0.8, 0.6400000000000001, 0.4096000000000001
-2.41, 0.82, 0.6723999999999999, 0.4521217599999999
-2.1, 0.74, 0.5476, 0.29986576
-2.15, 0.75, 0.5625, 0.31640625
-2.0, 0.61, 0.3721, 0.13845840999999998
-2.01, 0.615, 0.378225, 0.143054150625
-1.91, 0.655, 0.42902500000000005, 0.18406245062500004
-1.93, 0.66, 0.43560000000000004, 0.18974736000000003
-1.9, 0.655, 0.42902500000000005, 0.18406245062500004
-2.13, 0.77, 0.5929, 0.35153041
-2.02, 0.785, 0.616225, 0.3797332506250001
-2.27, 0.775, 0.6006250000000001, 0.36075039062500003
-2.03, 0.62, 0.3844, 0.14776335999999998
-2.07, 0.63, 0.39690000000000003, 0.15752961000000001
-2.34, 0.85, 0.7224999999999999, 0.5220062499999999
-2.45, 0.875, 0.765625, 0.586181640625
-2.42, 0.885, 0.7832250000000001, 0.6134414006250001
-2.13, 0.805, 0.6480250000000001, 0.4199364006250001
-2.19, 0.71, 0.5041, 0.25411680999999997
-2.2, 0.805, 0.6480250000000001, 0.4199364006250001
-2.45, 0.895, 0.801025, 0.6416410506250001
-2.46, 0.9, 0.81, 0.6561
-2.51, 0.905, 0.819025, 0.670801950625
-2.08, 0.685, 0.46922500000000006, 0.22017210062500006
-2.12, 0.755, 0.570025, 0.324928500625
-2.11, 0.75, 0.5625, 0.31640625
-2.14, 0.755, 0.570025, 0.324928500625
-2.24, 0.83, 0.6889, 0.4745832099999999
-2.17, 0.78, 0.6084, 0.3701505600000001
-2.35, 0.865, 0.748225, 0.559840650625
-2.38, 0.87, 0.7569, 0.57289761
-2.38, 0.87, 0.7569, 0.57289761
-2.21, 0.705, 0.49702499999999994, 0.24703385062499994
-2.49, 0.905, 0.819025, 0.670801950625
-2.37, 0.875, 0.765625, 0.586181640625
-2.5, 0.885, 0.7832250000000001, 0.6134414006250001
-2.46, 0.89, 0.7921, 0.62742241
-2.34, 0.855, 0.7310249999999999, 0.5343975506249999
